label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
cvd-num-c19hosp-pats	cvd_num_c19hosp_pats	cvdNumC19HospPats	pending:				CDCPMDRecord	Number				numc19hosppats - HOSPITALIZED: Patients currently hospitalized in an inpatient care location who have suspected or confirmed COVID-19.
cvd-num-c19mech-vent-pats	cvd_num_c19mech_vent_pats	cvdNumC19MechVentPats	pending:				CDCPMDRecord	Number				numc19mechventpats - HOSPITALIZED and VENTILATED: Patients hospitalized in an NHSN inpatient care location who have suspected or confirmed COVID-19 and are on a mechanical ventilator.
cvd-num-c19of-mech-vent-pats	cvd_num_c19of_mech_vent_pats	cvdNumC19OFMechVentPats	pending:				CDCPMDRecord	Number				numc19ofmechventpats - ED/OVERFLOW and VENTILATED: Patients with suspected or confirmed COVID-19 who are in the ED or any overflow location awaiting an inpatient bed and on a mechanical ventilator.
cvd-num-c19overflow-pats	cvd_num_c19overflow_pats	cvdNumC19OverflowPats	pending:				CDCPMDRecord	Number				numc19overflowpats - ED/OVERFLOW: Patients with suspected or confirmed COVID-19 who are in the ED or any overflow location awaiting an inpatient bed.
cvd-num-icu-beds	cvd_num_icu_beds	cvdNumICUBeds	pending:				CDCPMDRecord	Number				numicubeds - ICU BEDS: Total number of staffed inpatient intensive care unit (ICU) beds.
cvd-num-icu-beds-occ	cvd_num_icu_beds_occ	cvdNumICUBedsOcc	pending:				CDCPMDRecord	Number				numicubedsocc - ICU BED OCCUPANCY: Total number of staffed inpatient ICU beds that are occupied.
cvd-num-tot-beds	cvd_num_tot_beds	cvdNumTotBeds	pending:				CDCPMDRecord	Number				numtotbeds - ALL HOSPITAL BEDS: Total number of all inpatient and outpatient beds, including all staffed, ICU, licensed, and overflow (surge) beds used for inpatients or outpatients.
cvd-num-vent	cvd_num_vent	cvdNumVent	pending:				CDCPMDRecord	Number				numvent - MECHANICAL VENTILATORS: Total number of ventilators available.
cvd-num-vent-use	cvd_num_vent_use	cvdNumVentUse	pending:				CDCPMDRecord	Number				numventuse - MECHANICAL VENTILATORS IN USE: Total number of ventilators in use.
data-feed-element	data_feed_element	dataFeedElement					DataFeed	DataFeedItem, Text, Thing				An item within a data feed. Data feeds may have many elements.
dataset	dataset	dataset					DataCatalog	Dataset	includedInDataCatalog			A dataset contained in this catalog.
dataset-time-interval	dataset_time_interval	datasetTimeInterval					Dataset	DateTime			temporalCoverage	The range of temporal applicability of a dataset, e.g. for a 2011 census dataset, the year 2011 (in ISO 8601 time interval format).
date-created	date_created	dateCreated				legislationDate	CreativeWork, DataFeedItem	Date, DateTime				The date on which the CreativeWork was created or the item was added to a DataFeed.
date-deleted	date_deleted	dateDeleted					DataFeedItem	Date, DateTime				The datetime the item was removed from the DataFeed.
date-issued	date_issued	dateIssued					Ticket	Date, DateTime				The date the ticket was issued.
date-modified	date_modified	dateModified					CreativeWork, DataFeedItem	Date, DateTime				The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.
date-posted	date_posted	datePosted					CDCPMDRecord, JobPosting, RealEstateListing, SpecialAnnouncement	Date, DateTime				Publication date of an online listing.
date-published	date_published	datePublished					CreativeWork	Date, DateTime				Date of first broadcast/publication.
date-read	date_read	dateRead					Message	Date, DateTime				The date/time at which the message has been read by the recipient if a single recipient exists.
date-received	date_received	dateReceived					Message	DateTime				The date/time the message was received if a single recipient exists.
date-sent	date_sent	dateSent					Message	DateTime				The date/time at which the message was sent.
date-vehicle-first-registered	date_vehicle_first_registered	dateVehicleFirstRegistered					Vehicle	Date				The date of the first registration of the vehicle with the respective public authorities.
dateline	dateline	dateline					NewsArticle	Text				"A <a href=""https://en.wikipedia.org/wiki/Dateline"">dateline</a> is a brief piece of text included in news articles that describes where and when the story was written or filed though the date is often omitted. Sometimes only a placename is provided.<br/><br/>

Structured representations of dateline-related information can also be expressed more explicitly using <a class=""localLink"" href=""/locationCreated"">locationCreated</a> (which represents where a work was created, e.g. where a news report was written).  For location depicted or described in the content, use <a class=""localLink"" href=""/contentLocation"">contentLocation</a>.<br/><br/>

Dateline summaries are oriented more towards human readers than towards automated processing, and can vary substantially. Some examples: ""BEIRUT, Lebanon, June 2."", ""Paris, France"", ""December 19, 2017 11:43AM Reporting from Washington"", ""Beijing/Moscow"", ""QUEZON CITY, Philippines""."
day-of-week	day_of_week	dayOfWeek					EducationalOccupationalProgram, OpeningHoursSpecification	DayOfWeek				The day of the week for which these opening hours are valid.
death-date	death_date	deathDate					Person	Date				Date of death.
death-place	death_place	deathPlace					Person	Place				The place where the person died.
default-value	default_value	defaultValue					PropertyValueSpecification	Text, Thing				The default value of the input.  For properties that expect a literal, the default is a literal value, for properties that expect an object, it's an ID reference to one of the current values.
delivery-address	delivery_address	deliveryAddress					ParcelDelivery	PostalAddress				Destination address.
delivery-lead-time	delivery_lead_time	deliveryLeadTime					Demand, Offer	QuantitativeValue				The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup.
delivery-method	delivery_method	deliveryMethod		instrument			OrderAction, ReceiveAction, SendAction, TrackAction	DeliveryMethod				A sub property of instrument. The method of delivery.
delivery-status	delivery_status	deliveryStatus					ParcelDelivery	DeliveryEvent				New entry added as the package passes through each leg of its journey (from shipment to final delivery).
delivery-time	delivery_time	deliveryTime	pending:				DeliveryTimeSettings, OfferShippingDetails	ShippingDeliveryTime				The total delay between the receipt of the order and the goods reaching the final customer.
department	department	department					Organization	Organization				A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.
departure-airport	departure_airport	departureAirport					Flight	Airport				The airport where the flight originates.
departure-boat-terminal	departure_boat_terminal	departureBoatTerminal	pending:				BoatTrip	BoatTerminal				The terminal or port from which the boat departs.
departure-bus-stop	departure_bus_stop	departureBusStop					BusTrip	BusStation, BusStop				The stop or station from which the bus departs.
departure-gate	departure_gate	departureGate					Flight	Text				Identifier of the flight's departure gate.
departure-platform	departure_platform	departurePlatform					TrainTrip	Text				The platform from which the train departs.
departure-station	departure_station	departureStation					TrainTrip	TrainStation				The station from which the train departs.
departure-terminal	departure_terminal	departureTerminal					Flight	Text				Identifier of the flight's departure terminal.
departure-time	departure_time	departureTime					Trip	DateTime, Time				The expected departure time.
dependencies	dependencies	dependencies					TechArticle	Text				Prerequisites needed to fulfill steps in article.
depth	depth	depth					OfferShippingDetails, Product, VisualArtwork	Distance, QuantitativeValue				The depth of the item.
description	description	description			dc:description	disambiguatingDescription, interpretedAsClaim, originalMediaContextDescription, sha256	Thing	Text				A description of the item.
device	device	device					SoftwareApplication	Text			availableOnDevice	Device required to run the application. Used in cases where a specific make/model is required to run the application.
diagnosis	diagnosis	diagnosis					DDxElement, Patient	MedicalCondition				One or more alternative conditions considered in the differential diagnosis process as output of a diagnosis process.
diagram	diagram	diagram					AnatomicalStructure	ImageObject				An image containing a diagram that illustrates the structure and/or its component substructures and/or connections with other structures.
diet	diet	diet		instrument			ExerciseAction	Diet				A sub property of instrument. The diet used in this action.
diet-features	diet_features	dietFeatures					Diet	Text				Nutritional information specific to the dietary plan. May include dietary recommendations on what foods to avoid, what foods to consume, and specific alterations/deviations from the USDA or other regulatory body's approved dietary guidelines.
differential-diagnosis	differential_diagnosis	differentialDiagnosis					MedicalCondition	DDxElement				One of a set of differential diagnoses for the condition. Specifically, a closely-related or competing diagnosis typically considered later in the cognitive process whereby this medical condition is distinguished from others most likely responsible for a similar collection of signs and symptoms to reach the most parsimonious diagnosis or diagnoses in a patient.
direct-apply	direct_apply	directApply	pending:				JobPosting	Boolean				"Indicates whether an <a class=""localLink"" href=""/url"">url</a> that is associated with a <a class=""localLink"" href=""/JobPosting"">JobPosting</a> enables direct application for the job, via the posting website. A job posting is considered to have directApply of <a class=""localLink"" href=""/True"">True</a> if an application process for the specified job can be directly initiated via the url(s) given (noting that e.g. multiple internet domains might nevertheless be involved at an implementation level). A value of <a class=""localLink"" href=""/False"">False</a> is appropriate if there is no clear path to applying directly online for the specified job, navigating directly from the JobPosting url(s) supplied."
director	director	director					Clip, CreativeWorkSeason, Episode, Event, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	Person		directors		A director of e.g. TV, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
directors	directors	directors					Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	Person			director	A director of e.g. TV, radio, movie, video games etc. content. Directors can be associated with individual items or with a series, episode, clip.
disambiguating-description	disambiguating_description	disambiguatingDescription		description			Thing	Text				A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation.
discount	discount	discount					Order	Number, Text				Any discount applied (to an Order).
discount-code	discount_code	discountCode					Order	Text				Code used to redeem a discount.
discount-currency	discount_currency	discountCurrency					Order	Text				"The currency of the discount.<br/><br/>

Use standard formats: <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>, e.g. ""USD""; <a href=""https://en.wikipedia.org/wiki/List_of_cryptocurrencies"">Ticker symbol</a> for cryptocurrencies, e.g. ""BTC""; well known names for <a href=""https://en.wikipedia.org/wiki/Local_exchange_trading_system"">Local Exchange Trading Systems</a> (LETS) and other currency types, e.g. ""Ithaca HOUR""."
discusses	discusses	discusses					UserComments	CreativeWork				Specifies the CreativeWork associated with the UserComment.
discussion-url	discussion_url	discussionUrl					CreativeWork	URL				A link to the page containing the comments of the CreativeWork.
disease-prevention-info	disease_prevention_info	diseasePreventionInfo	pending:				SpecialAnnouncement	URL, WebContent				Information about disease prevention.
disease-spread-statistics	disease_spread_statistics	diseaseSpreadStatistics	pending:				SpecialAnnouncement	Dataset, Observation, URL, WebContent				"Statistical information about the spread of a disease, either as <a class=""localLink"" href=""/WebContent"">WebContent</a>, or
  described directly as a <a class=""localLink"" href=""/Dataset"">Dataset</a>, or the specific <a class=""localLink"" href=""/Observation"">Observation</a>s in the dataset. When a <a class=""localLink"" href=""/WebContent"">WebContent</a> URL is
  provided, the page indicated might also contain more such markup."
dissolution-date	dissolution_date	dissolutionDate					Organization	Date				The date that this organization was dissolved.
distance	distance	distance					ExerciseAction, TravelAction	Distance				The distance travelled, e.g. exercising or travelling.
distinguishing-sign	distinguishing_sign	distinguishingSign					DDxElement	MedicalSignOrSymptom				One of a set of signs and symptoms that can be used to distinguish this diagnosis from others in the differential diagnosis.
distribution	distribution	distribution					Dataset	DataDownload				"A downloadable form of this dataset, at a specific location, in a specific format. This property can be repeated if different variations are available. There is no expectation that different downloadable distributions must contain exactly equivalent information (see also <a href=""https://www.w3.org/TR/vocab-dcat-3/#Class:Distribution"">DCAT</a> on this point). Different distributions might include or exclude different subsets of the entire dataset, for example."
diversity-policy	diversity_policy	diversityPolicy	pending:				NewsMediaOrganization, Organization	CreativeWork, URL				"Statement on diversity policy by an <a class=""localLink"" href=""/Organization"">Organization</a> e.g. a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>. For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a statement describing the newsroom�s diversity policy on both staffing and sources, typically providing staffing data."
diversity-staffing-report	diversity_staffing_report	diversityStaffingReport	pending:	publishingPrinciples			NewsMediaOrganization, Organization	Article, URL				"For an <a class=""localLink"" href=""/Organization"">Organization</a> (often but not necessarily a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a report on staffing diversity issues. In a news context this might be for example ASNE or RTDNA (US) reports, or self-reported."
documentation	documentation	documentation	pending:				WebAPI	CreativeWork, URL				Further documentation describing the Web API in more detail.
does-not-ship	does_not_ship	doesNotShip	pending:				OfferShippingDetails, ShippingRateSettings	Boolean				"Indicates when shipping to a particular <a class=""localLink"" href=""/shippingDestination"">shippingDestination</a> is not available."
domain-includes	domain_includes	domainIncludes	https://meta.schema.org				Property	Class				Relates a property to a class that is (one of) the type(s) the property is expected to be used on.
domiciled-mortgage	domiciled_mortgage	domiciledMortgage	pending:				MortgageLoan	Boolean				Whether borrower is a resident of the jurisdiction where the property is located.
door-time	door_time	doorTime					Event	DateTime, Time				The time admission will commence.
dosage-form	dosage_form	dosageForm					Drug	Text				A dosage form in which this drug/supplement is available, e.g. 'tablet', 'suspension', 'injection'.
dose-schedule	dose_schedule	doseSchedule					Drug, TherapeuticProcedure	DoseSchedule				A dosing schedule for the drug for a given population, either observed, recommended, or maximum dose based on the type used.
dose-unit	dose_unit	doseUnit					DoseSchedule	Text				The unit of the dose, e.g. 'mg'.
dose-value	dose_value	doseValue					DoseSchedule	Number, QualitativeValue				The value of the dose, e.g. 500.
down-payment	down_payment	downPayment	pending:				RepaymentSpecification	MonetaryAmount, Number				a type of payment made in cash during the onset of the purchase of an expensive good/service. The payment typically represents only a percentage of the full purchase price.
download-url	download_url	downloadUrl					SoftwareApplication	URL				If the file can be downloaded, URL to download the binary.
downvote-count	downvote_count	downvoteCount					Comment	Integer				The number of downvotes this question, answer or comment has received from the community.
drains-to	drains_to	drainsTo					Vein	Vessel				The vasculature that the vein drains into.
drive-wheel-configuration	drive_wheel_configuration	driveWheelConfiguration					Vehicle	DriveWheelConfigurationValue, Text				The drive wheel configuration, i.e. which roadwheels will receive torque from the vehicle's engine via the drivetrain.
dropoff-location	dropoff_location	dropoffLocation					RentalCarReservation	Place				Where a rental car can be dropped off.
dropoff-time	dropoff_time	dropoffTime					RentalCarReservation	DateTime				When a rental car can be dropped off.
drug	drug	drug					DrugClass, MedicalCondition, Patient, TherapeuticProcedure	Drug				Specifying a drug or medicine used in a medication procedure.
drug-class	drug_class	drugClass					Drug	DrugClass				The class of drug this belongs to (e.g., statins).
drug-unit	drug_unit	drugUnit					Drug, DrugCost	Text				The unit in which the drug is measured, e.g. '5 mg tablet'.
duns	duns	duns		identifier			Organization, Person	Text				"The Dun &amp; Bradstreet DUNS number for identifying an organization or business person."
duplicate-therapy	duplicate_therapy	duplicateTherapy					MedicalTherapy	MedicalTherapy				A therapy that duplicates or overlaps this one.
duration	duration	duration				loanTerm	Audiobook, Episode, Event, MediaObject, Movie, MusicRecording, MusicRelease, QuantitativeValueDistribution, Schedule	Duration				"The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>."
duration-of-warranty	duration_of_warranty	durationOfWarranty					WarrantyPromise	QuantitativeValue				The duration of the warranty promise. Common unitCode values are ANN for year, MON for months, or DAY for days.
during-media	during_media	duringMedia					HowToDirection	MediaObject, URL				A media object representing the circumstances while performing this direction.
early-prepayment-penalty	early_prepayment_penalty	earlyPrepaymentPenalty	pending:				RepaymentSpecification	MonetaryAmount				The amount to be paid as a penalty in the event of early payment of the loan.
edit-eidr	edit_eidr	editEIDR	pending:	identifier			CreativeWork	Text, URL				"An <a href=""https://eidr.org/"">EIDR</a> (Entertainment Identifier Registry) <a class=""localLink"" href=""/identifier"">identifier</a> representing a specific edit / edition for a work of film or television.<br/><br/>

For example, the motion picture known as ""Ghostbusters"" whose <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> is ""10.5240/7EC7-228A-510A-053E-CBB8-J"" has several edits, e.g. ""10.5240/1F2A-E1C5-680A-14C6-E76B-I"" and ""10.5240/8A35-3BEE-6497-5D12-9E4F-3"".<br/><br/>

Since schema.org types like <a class=""localLink"" href=""/Movie"">Movie</a> and <a class=""localLink"" href=""/TVEpisode"">TVEpisode</a> can be used for both works and their multiple expressions, it is possible to use <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> alone (for a general description), or alongside <a class=""localLink"" href=""/editEIDR"">editEIDR</a> for a more edit-specific description."
editor	editor	editor					CreativeWork	Person				Specifies the Person who edited the CreativeWork.
edu-question-type	edu_question_type	eduQuestionType	pending:				Question, SolveMathAction	Text				"For questions that are part of learning resources (e.g. Quiz), eduQuestionType indicates the format of question being given. Example: ""Multiple choice"", ""Open ended"", ""Flashcard""."
education-requirements	education_requirements	educationRequirements	pending:				JobPosting, Occupation	EducationalOccupationalCredential, Text				Educational background needed for the position or Occupation.
educational-alignment	educational_alignment	educationalAlignment					CreativeWork, LearningResource	AlignmentObject				"An alignment to an established educational framework.<br/><br/>

This property should not be used where the nature of the alignment can be described using a simple property, for example to express that a resource <a class=""localLink"" href=""/teaches"">teaches</a> or <a class=""localLink"" href=""/assesses"">assesses</a> a competency."
educational-credential-awarded	educational_credential_awarded	educationalCredentialAwarded					Course, EducationalOccupationalProgram	EducationalOccupationalCredential, Text, URL				A description of the qualification, award, certificate, diploma or other educational credential awarded as a consequence of successful completion of this course or program.
educational-framework	educational_framework	educationalFramework					AlignmentObject	Text				The framework to which the resource being described is aligned.
educational-level	educational_level	educationalLevel	pending:				CreativeWork, EducationEvent, EducationalOccupationalCredential, LearningResource	DefinedTerm, Text, URL				The level in terms of progression through an educational or training context. Examples of educational levels include 'beginner', 'intermediate' or 'advanced', and formal sets of level indicators.
educational-program-mode	educational_program_mode	educationalProgramMode	pending:				EducationalOccupationalProgram	Text, URL				"Similar to courseMode, the medium or means of delivery of the program as a whole. The value may either be a text label (e.g. ""online"", ""onsite"" or ""blended""; ""synchronous"" or ""asynchronous""; ""full-time"" or ""part-time"") or a URL reference to a term from a controlled vocabulary (e.g. https://ceds.ed.gov/element/001311#Asynchronous )."
educational-role	educational_role	educationalRole					EducationalAudience	Text				An educationalRole of an EducationalAudience.
educational-use	educational_use	educationalUse					CreativeWork, LearningResource	DefinedTerm, Text				"The purpose of a work in the context of education; for example, 'assignment', 'group work'."
elevation	elevation	elevation					GeoCoordinates, GeoShape	Number, Text				"The elevation of a location (<a href=""https://en.wikipedia.org/wiki/World_Geodetic_System"">WGS 84</a>). Values may be of the form 'NUMBER UNIT_OF_MEASUREMENT' (e.g., '1,000 m', '3,200 ft') while numbers alone should be assumed to be a value in meters."
eligibility-to-work-requirement	eligibility_to_work_requirement	eligibilityToWorkRequirement	pending:				JobPosting	Text				The legal requirements such as citizenship, visa and other documentation required for an applicant to this job.
eligible-customer-type	eligible_customer_type	eligibleCustomerType					Demand, Offer	BusinessEntityType				The type(s) of customers for which the given offer is valid.
eligible-duration	eligible_duration	eligibleDuration					Demand, Offer	QuantitativeValue				The duration for which the given offer is valid.
eligible-quantity	eligible_quantity	eligibleQuantity					Demand, Offer, PriceSpecification	QuantitativeValue				The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.
eligible-region	eligible_region	eligibleRegion		areaServed			ActionAccessSpecification, DeliveryChargeSpecification, Demand, Offer	GeoShape, Place, Text				"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is valid.<br/><br/>

See also <a class=""localLink"" href=""/ineligibleRegion"">ineligibleRegion</a>."
eligible-transaction-volume	eligible_transaction_volume	eligibleTransactionVolume					Demand, Offer, PriceSpecification	PriceSpecification				The transaction volume, in a monetary unit, for which the offer or price specification is valid, e.g. for indicating a minimal purchasing volume, to express free shipping above a certain order volume, or to limit the acceptance of credit cards to purchases to a certain minimal amount.
email	email	email					ContactPoint, Organization, Person	Text				Email address.
embed-url	embed_url	embedUrl					MediaObject	URL				A URL pointing to a player for a specific video. In general, this is the information in the <code>src</code> element of an <code>embed</code> tag and should not be the same as the content of the <code>loc</code> tag.
embedded-text-caption	embedded_text_caption	embeddedTextCaption	pending:	caption			AudioObject, ImageObject, VideoObject	Text				"Represents textual captioning from a <a class=""localLink"" href=""/MediaObject"">MediaObject</a>, e.g. text of a 'meme'."
emissions-co2	emissions_co2	emissionsCO2	https://auto.schema.org				Vehicle	Number				"The CO2 emissions in g/km. When used in combination with a QuantitativeValue, put ""g/km"" into the unitText property of that value, since there is no UN/CEFACT Common Code for ""g/km""."
employee	employee	employee					Organization	Person		employees		Someone working for this organization.
employees	employees	employees					Organization	Person			employee	People working for this organization.
employer-overview	employer_overview	employerOverview	pending:				JobPosting	Text				A description of the employer, career opportunities and work environment for this position.
employment-type	employment_type	employmentType					JobPosting	Text				Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).
employment-unit	employment_unit	employmentUnit	pending:				JobPosting	Organization				Indicates the department, unit and/or facility where the employee reports and/or in which the job is to be performed.
encodes-bio-chem-entity	encodes_bio_chem_entity	encodesBioChemEntity	pending:				Gene	BioChemEntity	isEncodedByBioChemEntity			Another BioChemEntity encoded by this one.
encodes-creative-work	encodes_creative_work	encodesCreativeWork					MediaObject	CreativeWork	encoding			The CreativeWork encoded by this media object.
encoding	encoding	encoding					CreativeWork	MediaObject	encodesCreativeWork	encodings		A media object that encodes this CreativeWork. This property is a synonym for associatedMedia.
encoding-format	encoding_format	encodingFormat					CreativeWork, MediaObject	Text, URL		fileFormat		"Media type typically expressed using a MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a> and <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types"">MDN reference</a>), e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.<br/><br/>

In cases where a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> has several media type representations, <a class=""localLink"" href=""/encoding"">encoding</a> can be used to indicate each <a class=""localLink"" href=""/MediaObject"">MediaObject</a> alongside particular <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a> information.<br/><br/>

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."
encoding-type	encoding_type	encodingType					EntryPoint	Text				The supported encoding type(s) for an EntryPoint request.
encodings	encodings	encodings					CreativeWork	MediaObject			encoding	A media object that encodes this CreativeWork.
end-date	end_date	endDate					CreativeWorkSeason, CreativeWorkSeries, DatedMoneySpecification, EducationalOccupationalProgram, Event, MerchantReturnPolicySeasonalOverride, Role, Schedule	Date, DateTime				"The end date and time of the item (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>)."
end-offset	end_offset	endOffset	pending:				Clip	HyperTocEntry, Number				The end time of the clip expressed as the number of seconds from the beginning of the work.
end-time	end_time	endTime					Action, FoodEstablishmentReservation, InteractionCounter, MediaObject, Schedule	DateTime, Time				"The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. E.g. John wrote a book from January to <em>December</em>. For media, including audio and video, it's the time offset of the end of a clip within a larger file.<br/><br/>

Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions."
endorsee	endorsee	endorsee		participant			EndorseAction	Organization, Person				A sub property of participant. The person/organization being supported.
endorsers	endorsers	endorsers					Diet	Organization, Person				People or organizations that endorse the plan.
energy-efficiency-scale-max	energy_efficiency_scale_max	energyEfficiencyScaleMax	pending:				EnergyConsumptionDetails	EUEnergyEfficiencyEnumeration				Specifies the most energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++.
energy-efficiency-scale-min	energy_efficiency_scale_min	energyEfficiencyScaleMin	pending:				EnergyConsumptionDetails	EUEnergyEfficiencyEnumeration				Specifies the least energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++.
engine-displacement	engine_displacement	engineDisplacement	https://auto.schema.org				EngineSpecification	QuantitativeValue				"The volume swept by all of the pistons inside the cylinders of an internal combustion engine in a single movement. <br/><br/>

Typical unit code(s): CMQ for cubic centimeter, LTR for liters, INQ for cubic inches
* Note 1: You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.
* Note 2: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges."
engine-power	engine_power	enginePower	https://auto.schema.org				EngineSpecification	QuantitativeValue				"The power of the vehicle's engine.
    Typical unit code(s): KWT for kilowatt, BHP for brake horsepower, N12 for metric horsepower (PS, with 1 PS = 735,49875 W)<br/><br/>

<ul>
<li>Note 1: There are many different ways of measuring an engine's power. For an overview, see  <a href=""http://en.wikipedia.org/wiki/Horsepower#Engine_power_test_codes"">http://en.wikipedia.org/wiki/Horsepower#Engine_power_test_codes</a>.</li>
<li>Note 2: You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.</li>
<li>Note 3: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
engine-type	engine_type	engineType	https://auto.schema.org				EngineSpecification	QualitativeValue, Text, URL				The type of engine or engines powering the vehicle.
entertainment-business	entertainment_business	entertainmentBusiness		location			PerformAction	EntertainmentBusiness				A sub property of location. The entertainment business where the action occurred.
epidemiology	epidemiology	epidemiology					MedicalCondition, PhysicalActivity	Text				The characteristics of associated patients, such as age, gender, race etc.
episode	episode	episode		hasPart			CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	Episode		episodes		An episode of a TV, radio or game media within a series or season.
episode-number	episode_number	episodeNumber		position			Episode	Integer, Text				Position of the episode within an ordered group of episodes.
episodes	episodes	episodes					CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	Episode			episode	An episode of a TV/radio series or season.
equal	equal	equal					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is equal to the object.
error	error	error					Action	Thing				For failed actions, more information on the cause of the failure.
estimated-cost	estimated_cost	estimatedCost					HowTo, HowToSupply	MonetaryAmount, Text				The estimated cost of the supply or supplies consumed when performing instructions.
estimated-flight-duration	estimated_flight_duration	estimatedFlightDuration					Flight	Duration, Text				The estimated time the flight will take.
estimated-salary	estimated_salary	estimatedSalary					JobPosting, Occupation	MonetaryAmount, MonetaryAmountDistribution, Number				An estimated salary for a job posting or occupation, based on a variety of variables including, but not limited to industry, job title, and location. Estimated salaries  are often computed by outside organizations rather than the hiring organization, who may not have committed to the estimated value.
estimates-risk-of	estimates_risk_of	estimatesRiskOf					MedicalRiskEstimator	MedicalEntity				The condition, complication, or symptom whose risk is being estimated.
ethics-policy	ethics_policy	ethicsPolicy	pending:				NewsMediaOrganization, Organization	CreativeWork, URL				"Statement about ethics policy, e.g. of a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> regarding journalistic and publishing practices, or of a <a class=""localLink"" href=""/Restaurant"">Restaurant</a>, a page describing food source policies. In the case of a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, an ethicsPolicy is typically a statement describing the personal, organizational, and corporate standards of behavior expected by the organization."
event	event	event					InformAction, InviteAction, JoinAction, LeaveAction, Organization, Place, PlayAction	Event		events		Upcoming or past event associated with this place, organization, or action.
event-attendance-mode	event_attendance_mode	eventAttendanceMode	pending:				Event	EventAttendanceModeEnumeration				The eventAttendanceMode of an event indicates whether it occurs online, offline, or a mix.
